Datetime,Dispatch,LMP,Dispatch DA,LMP DA
2020-01-01 00:00:00,300.0,-0.0,350.4,-0.0
2020-01-01 01:00:00,300.0,-0.0,335.4,-0.0
2020-01-01 02:00:00,300.0,-0.0,352.4,-0.0
2020-01-01 03:00:00,300.0,-0.0,358.4,-0.0
2020-01-01 04:00:00,300.0,-0.0,363.4,-0.0
2020-01-01 05:00:00,300.0,-0.0,400.0,18.573789
2020-01-01 06:00:00,351.365637,14.910279,400.0,66.478684
2020-01-01 07:00:00,400.0,18.52187,386.4,14.919562
2020-01-01 08:00:00,300.0,-0.0,387.4,-0.0
2020-01-01 09:00:00,300.0,-0.0,381.4,-0.0
2020-01-01 10:00:00,300.0,-0.0,363.4,-0.0
2020-01-01 11:00:00,300.0,-0.0,400.0,18.072542
2020-01-01 12:00:00,353.950527,14.915942,400.0,18.861019
2020-01-01 13:00:00,400.0,19.034775,400.0,19.430296
2020-01-01 14:00:00,400.0,16.970947,400.0,19.685338
2020-01-01 15:00:00,300.0,-0.0,400.0,21.287879
2020-01-01 16:00:00,400.0,19.430296,400.0,29.626106
2020-01-01 17:00:00,400.0,20.06078,400.0,73.360751
2020-01-01 18:00:00,400.0,23.069973,400.0,69.196929
2020-01-01 19:00:00,400.0,23.069973,400.0,23.811647
2020-01-01 20:00:00,400.0,23.069973,400.0,21.843654
2020-01-01 21:00:00,400.0,21.287879,400.0,19.68943
2020-01-01 22:00:00,400.0,123.069973,400.0,19.430296
2020-01-01 23:00:00,400.0,21.288154,400.0,19.034775
2020-01-02 00:00:00,400.0,21.116411,400.0,19.034775
2020-01-02 01:00:00,400.0,21.843654,400.0,16.93157
2020-01-02 02:00:00,400.0,21.843654,400.0,18.056115
2020-01-02 03:00:00,400.0,22.516066,400.0,18.567805
2020-01-02 04:00:00,400.0,21.647258,400.0,19.034775
2020-01-02 05:00:00,400.0,20.400003,400.0,20.400003
2020-01-02 06:00:00,400.0,21.287879,400.0,51.401684
2020-01-02 07:00:00,400.0,121.843654,386.4,-0.0
2020-01-02 08:00:00,300.0,-0.0,388.4,-0.0
2020-01-02 09:00:00,300.0,-0.0,388.4,-0.0
2020-01-02 10:00:00,300.0,-0.0,388.4,-0.0
2020-01-02 11:00:00,300.0,-0.0,383.4,-0.0
2020-01-02 12:00:00,300.0,-0.0,383.4,-0.0
2020-01-02 13:00:00,300.0,-0.0,383.4,-0.0
2020-01-02 14:00:00,300.0,-0.0,382.4,-0.0
2020-01-02 15:00:00,300.0,-0.0,382.4,-0.0
2020-01-02 16:00:00,300.0,-0.0,400.0,20.846138
2020-01-02 17:00:00,400.0,21.122752,400.0,76.777694
2020-01-02 18:00:00,400.0,22.23556,400.0,71.502912
2020-01-02 19:00:00,400.0,21.122752,400.0,33.945492
2020-01-02 20:00:00,400.0,20.526636,400.0,25.10505
2020-01-02 21:00:00,400.0,20.42044,400.0,21.287879
2020-01-02 22:00:00,302.365031,14.89949,378.4,13.897109
2020-01-02 23:00:00,300.0,-0.0,378.4,-0.0
2020-01-03 00:00:00,363.320014,14.919562,374.4,-0.0
2020-01-03 01:00:00,300.0,-0.0,351.4,-0.0
2020-01-03 02:00:00,312.10995,14.89949,330.4,-0.0
2020-01-03 03:00:00,361.561275,14.919562,330.4,-0.0
2020-01-03 04:00:00,400.0,19.983547,341.4,-0.0
2020-01-03 05:00:00,400.0,17.392886,400.0,19.533879
2020-01-03 06:00:00,400.0,21.122752,400.0,52.116434
2020-01-03 07:00:00,400.0,20.526636,344.4,-0.0
2020-01-03 08:00:00,300.0,-0.0,363.4,-0.0
2020-01-03 09:00:00,300.0,-0.0,375.4,-0.0
2020-01-03 10:00:00,300.0,-0.0,380.4,-0.0
2020-01-03 11:00:00,300.0,-0.0,359.4,-0.0
2020-01-03 12:00:00,300.0,-0.0,383.4,-0.0
2020-01-03 13:00:00,300.0,-0.0,379.4,-0.0
2020-01-03 14:00:00,300.0,-0.0,382.4,-0.0
2020-01-03 15:00:00,300.0,-0.0,400.0,16.743892
2020-01-03 16:00:00,300.0,-0.0,400.0,21.122752
2020-01-03 17:00:00,398.0,14.919562,400.0,91.937912
2020-01-03 18:00:00,400.0,19.034775,400.0,73.408715
2020-01-03 19:00:00,400.0,19.983547,400.0,24.558926
2020-01-03 20:00:00,400.0,22.732362,400.0,21.287879
2020-01-03 21:00:00,400.0,23.128644,400.0,19.034775
2020-01-03 22:00:00,400.0,23.206766,381.4,-0.0
2020-01-03 23:00:00,400.0,22.732362,400.0,19.034775
2020-01-04 00:00:00,400.0,23.206766,400.0,22.732362
2020-01-04 01:00:00,400.0,23.206766,400.0,23.069973
2020-01-04 02:00:00,400.0,23.128644,400.0,23.206766
2020-01-04 03:00:00,400.0,23.069973,400.0,23.128644
2020-01-04 04:00:00,400.0,23.069973,400.0,23.069973
2020-01-04 05:00:00,400.0,23.206766,400.0,23.206766
2020-01-04 06:00:00,400.0,24.617414,400.0,46.780866
2020-01-04 07:00:00,400.0,23.657594,400.0,21.116714
2020-01-04 08:00:00,400.0,22.492854,400.0,18.861019
2020-01-04 09:00:00,400.0,19.034775,386.943128,14.248674
2020-01-04 10:00:00,300.0,-0.0,338.4,-0.0
2020-01-04 11:00:00,300.0,-0.0,344.4,-0.0
2020-01-04 12:00:00,300.0,-0.0,364.4,-0.0
2020-01-04 13:00:00,300.0,-0.0,376.4,-0.0
2020-01-04 14:00:00,300.0,-0.0,382.4,-0.0
2020-01-04 15:00:00,300.0,-0.0,381.4,-0.0
2020-01-04 16:00:00,300.0,-0.0,400.0,65.839139
2020-01-04 17:00:00,400.0,17.392886,400.0,77.112322
2020-01-04 18:00:00,400.0,22.656017,400.0,26.980604
2020-01-04 19:00:00,400.0,127.972516,400.0,23.317591
2020-01-04 20:00:00,400.0,20.42044,400.0,24.459163
2020-01-04 21:00:00,399.803166,15.0,400.0,19.794116
2020-01-04 22:00:00,400.0,20.42044,378.795355,16.130853
2020-01-04 23:00:00,400.0,20.234035,353.144395,19.958349
2020-01-05 00:00:00,400.0,127.513686,400.0,17.349443
2020-01-05 01:00:00,400.0,20.42044,337.022837,-0.0
2020-01-05 02:00:00,400.0,20.234035,361.171901,14.910279
2020-01-05 03:00:00,400.0,20.234035,342.562778,-0.0
2020-01-05 04:00:00,362.795717,14.89949,385.489267,14.910279
2020-01-05 05:00:00,300.0,-0.0,400.0,18.926085
2020-01-05 06:00:00,317.048732,14.89949,400.0,68.085461
2020-01-05 07:00:00,300.0,-0.0,339.4,-0.0
2020-01-05 08:00:00,300.0,-0.0,354.4,-0.0
2020-01-05 09:00:00,300.0,-0.0,345.4,-0.0
2020-01-05 10:00:00,300.0,-0.0,362.4,-0.0
2020-01-05 11:00:00,300.0,-0.0,383.4,-0.0
2020-01-05 12:00:00,300.0,-0.0,383.4,-0.0
2020-01-05 13:00:00,300.0,-0.0,383.4,-0.0
2020-01-05 14:00:00,300.0,-0.0,382.4,-0.0
2020-01-05 15:00:00,300.0,-0.0,381.4,-0.0
2020-01-05 16:00:00,300.0,-0.0,400.0,21.843654
2020-01-05 17:00:00,300.0,-0.0,400.0,75.234225
2020-01-05 18:00:00,300.0,-0.0,400.0,79.050133
2020-01-05 19:00:00,300.0,-0.0,400.0,39.746632
2020-01-05 20:00:00,300.0,-0.0,400.0,23.069973
2020-01-05 21:00:00,300.0,-0.0,400.0,21.116714
